ano,uf,n_vacina
1997,Rondônia,35505
1998,Rondônia,37018
1999,Rondônia,34723
2000,Rondônia,34654
2001,Rondônia,35213
2002,Rondônia,32122
2003,Rondônia,31107
2004,Rondônia,30836
2005,Rondônia,30823
2006,Rondônia,30194
2007,Rondônia,26244
2008,Rondônia,28357
2009,Rondônia,28068
2010,Rondônia,26805
2011,Rondônia,27586
2012,Rondônia,27674
2013,Rondônia,29899
2014,Rondônia,29180
2015,Rondônia,29955
2016,Rondônia,28900
2017,Rondônia,27104
2018,Rondônia,24805
2019,Rondônia,14635
1997,Acre,12384
1998,Acre,13242
1999,Acre,13272
2000,Acre,17101
2001,Acre,20105
2002,Acre,21053
2003,Acre,19352
2004,Acre,19048
2005,Acre,19076
2006,Acre,19080
2007,Acre,19831
2008,Acre,19531
2009,Acre,18437
2010,Acre,19256
2011,Acre,18481
2012,Acre,17700
2013,Acre,18890
2014,Acre,17448
2015,Acre,18019
2016,Acre,16939
2017,Acre,16345
2018,Acre,15839
2019,Acre,9720
1997,Amazonas,72388
1998,Amazonas,73559
1999,Amazonas,81282
2000,Amazonas,84148
2001,Amazonas,84517
2002,Amazonas,85867
2003,Amazonas,89590
2004,Amazonas,84632
2005,Amazonas,95910
2006,Amazonas,96372
2007,Amazonas,92081
2008,Amazonas,90910
2009,Amazonas,91384
2010,Amazonas,87714
2011,Amazonas,88693
2012,Amazonas,93902
2013,Amazonas,88990
2014,Amazonas,93158
2015,Amazonas,87367
2016,Amazonas,77405
2017,Amazonas,75738
2018,Amazonas,74056
2019,Amazonas,45990
1997,Roraima,9237
1998,Roraima,8929
1999,Roraima,10290
2000,Roraima,18261
2001,Roraima,10048
2002,Roraima,10510
2003,Roraima,10705
2004,Roraima,9498
2005,Roraima,10401
2006,Roraima,11074
2007,Roraima,9920
2008,Roraima,9599
2009,Roraima,9809
2010,Roraima,10908
2011,Roraima,11086
2012,Roraima,11377
2013,Roraima,9303
2014,Roraima,11020
2015,Roraima,11944
2016,Roraima,11985
2017,Roraima,12974
2018,Roraima,15138
2019,Roraima,8683
1997,Pará,174889
1998,Pará,128708
1999,Pará,154564
2000,Pará,162481
2001,Pará,183776
2002,Pará,200764
2003,Pará,197849
2004,Pará,183739
2005,Pará,214006
2006,Pará,210510
2007,Pará,204987
2008,Pará,193105
2009,Pará,183717
2010,Pará,177783
2011,Pará,171319
2012,Pará,162045
2013,Pará,167041
2014,Pará,158187
2015,Pará,131887
2016,Pará,116950
2017,Pará,121313
2018,Pará,115103
2019,Pará,64516
1997,Amapá,10189
1998,Amapá,12649
1999,Amapá,16823
2000,Amapá,16755
2001,Amapá,26502
2002,Amapá,18320
2003,Amapá,18241
2004,Amapá,16925
2005,Amapá,17461
2006,Amapá,17901
2007,Amapá,16338
2008,Amapá,17469
2009,Amapá,16551
2010,Amapá,16539
2011,Amapá,15974
2012,Amapá,15125
2013,Amapá,17692
2014,Amapá,17685
2015,Amapá,19065
2016,Amapá,18473
2017,Amapá,15766
2018,Amapá,15924
2019,Amapá,9418
1997,Tocantins,29557
1998,Tocantins,31092
1999,Tocantins,32959
2000,Tocantins,31203
2001,Tocantins,32660
2002,Tocantins,30838
2003,Tocantins,28417
2004,Tocantins,28049
2005,Tocantins,29242
2006,Tocantins,29048
2007,Tocantins,27292
2008,Tocantins,27587
2009,Tocantins,25907
2010,Tocantins,25117
2011,Tocantins,25555
2012,Tocantins,24482
2013,Tocantins,23039
2014,Tocantins,25122
2015,Tocantins,25907
2016,Tocantins,24749
2017,Tocantins,26221
2018,Tocantins,24429
2019,Tocantins,17430
1997,Maranhão,153225
1998,Maranhão,155751
1999,Maranhão,161104
2000,Maranhão,163096
2001,Maranhão,172299
2002,Maranhão,169504
2003,Maranhão,172918
2004,Maranhão,164230
2005,Maranhão,173280
2006,Maranhão,176834
2007,Maranhão,180206
2008,Maranhão,171935
2009,Maranhão,163890
2010,Maranhão,154853
2011,Maranhão,151712
2012,Maranhão,140959
2013,Maranhão,137377
2014,Maranhão,125450
2015,Maranhão,118831
2016,Maranhão,105284
2017,Maranhão,115279
2018,Maranhão,111062
2019,Maranhão,56549
1997,Piauí,63535
1998,Piauí,64898
1999,Piauí,68361
2000,Piauí,68393
2001,Piauí,68485
2002,Piauí,64959
2003,Piauí,60956
2004,Piauí,62148
2005,Piauí,62071
2006,Piauí,60357
2007,Piauí,56963
2008,Piauí,55908
2009,Piauí,53339
2010,Piauí,51780
2011,Piauí,51094
2012,Piauí,49401
2013,Piauí,48407
2014,Piauí,46278
2015,Piauí,40035
2016,Piauí,40198
2017,Piauí,46037
2018,Piauí,45806
2019,Piauí,24311
1997,Ceará,215827
1998,Ceará,166888
1999,Ceará,201012
2000,Ceará,193388
2001,Ceará,185396
2002,Ceará,175195
2003,Ceará,165587
2004,Ceará,158890
2005,Ceará,166229
2006,Ceará,148681
2007,Ceará,150981
2008,Ceará,143279
2009,Ceará,142003
2010,Ceará,140053
2011,Ceará,139239
2012,Ceará,135348
2013,Ceará,139709
2014,Ceará,136252
2015,Ceará,143187
2016,Ceará,139925
2017,Ceará,139510
2018,Ceará,130356
2019,Ceará,71228
1997,Rio Grande do Norte,57042
1998,Rio Grande do Norte,52126
1999,Rio Grande do Norte,59916
2000,Rio Grande do Norte,58329
2001,Rio Grande do Norte,57418
2002,Rio Grande do Norte,60832
2003,Rio Grande do Norte,59280
2004,Rio Grande do Norte,56684
2005,Rio Grande do Norte,58756
2006,Rio Grande do Norte,56634
2007,Rio Grande do Norte,54498
2008,Rio Grande do Norte,53977
2009,Rio Grande do Norte,53921
2010,Rio Grande do Norte,55014
2011,Rio Grande do Norte,58282
2012,Rio Grande do Norte,55012
2013,Rio Grande do Norte,52490
2014,Rio Grande do Norte,50815
2015,Rio Grande do Norte,49471
2016,Rio Grande do Norte,42931
2017,Rio Grande do Norte,31972
2018,Rio Grande do Norte,48468
2019,Rio Grande do Norte,20171
1997,Paraíba,77338
1998,Paraíba,72826
1999,Paraíba,76334
2000,Paraíba,72677
2001,Paraíba,80286
2002,Paraíba,75091
2003,Paraíba,73423
2004,Paraíba,74953
2005,Paraíba,81072
2006,Paraíba,75810
2007,Paraíba,74001
2008,Paraíba,76749
2009,Paraíba,70927
2010,Paraíba,65785
2011,Paraíba,68059
2012,Paraíba,65209
2013,Paraíba,65991
2014,Paraíba,63525
2015,Paraíba,60091
2016,Paraíba,55952
2017,Paraíba,58990
2018,Paraíba,58849
2019,Paraíba,33189
1997,Pernambuco,211107
1998,Pernambuco,204655
1999,Pernambuco,217701
2000,Pernambuco,203858
2001,Pernambuco,194924
2002,Pernambuco,193289
2003,Pernambuco,191131
2004,Pernambuco,182000
2005,Pernambuco,178077
2006,Pernambuco,170353
2007,Pernambuco,163715
2008,Pernambuco,164432
